Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.681, 05:53:47.742,nglOrderAPI_createOrder_2,6.06081
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:38.167, 05:53:47.805,nglOrderAPI_createOrder_2,9.63722
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.525, 05:53:47.883,nglOrderAPI_createOrder_2,6.35721
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:39.980, 05:53:48.274,nglOrderAPI_createOrder_2,8.29362
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.932, 05:53:48.445,nglOrderAPI_createOrder_2,6.51321
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.963, 05:53:48.445,nglOrderAPI_createOrder_2,6.48201
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:39.918, 05:53:48.820,nglOrderAPI_createOrder_2,8.90202
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.588, 05:53:49.243,nglOrderAPI_createOrder_2,7.65501
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:39.416, 05:53:49.414,nglOrderAPI_createOrder_2,9.99802
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:40.401, 05:53:50.570,nglOrderAPI_createOrder_2,10.16862
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:40.666, 05:53:50.601,nglOrderAPI_createOrder_2,9.93462
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.26, 05:53:50.601,nglOrderAPI_createOrder_2,9.57482
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:42.353, 05:53:49.539,nglOrderAPI_createOrder_2,7.18601
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:43.103, 05:53:50.726,nglOrderAPI_createOrder_2,7.62281
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.338, 05:53:50.617,nglOrderAPI_createOrder_2,9.27842
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:41.11, 05:53:50.617,nglOrderAPI_createOrder_2,9.60602
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:43.540, 05:53:50.726,nglOrderAPI_createOrder_2,7.18601
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:44.337, 05:53:50.695,nglOrderAPI_createOrder_2,6.35721
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:42.587, 05:53:50.695,nglOrderAPI_createOrder_2,8.10741
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:44.337, 05:53:50.679,nglOrderAPI_createOrder_2,6.34161
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:40.261, 05:53:50.710,nglOrderAPI_createOrder_2,10.44942
Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:53:43.446, 05:53:50.710,nglOrderAPI_createOrder_2,7.26401
Date, RequestTime, ResponseTime,MethodName,TimeDifference
